id,timeInit,timeFinal,time (ns),time (ms),
429,26407986673405,26670016168213,262029494808,262029.494808,262.029494808
430,26407986717157,26671018622394,263031905237,263031.905237,263.031905237
431,26407986755246,26672021090852,264034335606,264034.335606,264.034335606
432,26407986792783,26673022796978,265036004195,265036.004195,265.036004195
433,26407986830400,26674025204047,266038373647,266038.373647,266.038373647
434,26407986868023,26675027675627,267040807604,267040.807604,267.040807604
435,26407986905400,26676030260600,268043355200,268043.3552,268.0433552
436,26407986943146,26677032733829,269045790683,269045.790683,269.045790683
437,26407986981003,26678035242884,270048261881,270048.261881,270.048261881
438,26407987019003,26679037802569,271050783566,271050.783566,271.050783566
439,26407987056250,26680040484822,272053428572,272053.428572,272.053428572
440,26407987094013,26681043027944,273055933931,273055.933931,273.055933931
441,26407987131726,26682045576272,274058444546,274058.444546,274.058444546
442,26407987169158,26683048195499,275061026341,275061.026341,275.061026341
443,26407987206478,26684050953654,276063747176,276063.747176,276.063747176
444,26407987243914,26685053432987,277066189073,277066.189073,277.066189073
445,26407987281224,26686055764690,278068483466,278068.483466,278.068483466
446,26407987319317,26687058392289,279071072972,279071.072972,279.071072972
447,26407987356846,26688060091398,280072734552,280072.734552,280.072734552
