18:48:38,CPU,%user,%nice,%system,%iowait,%steal,%idle,%real
18:56:05,all,0.19,0,0.25,0,0,99.56,0.44
18:56:06,all,0.13,0,0.25,0,0,99.62,0.38
18:56:07,all,0.19,0,0.22,0,0,99.59,0.41
18:56:08,all,0.28,0,0.22,0,0,99.5,0.5
18:56:09,all,0.16,0,0.25,0,0,99.59,0.41
18:56:10,all,0.41,0,0.31,0,0,99.28,0.72
18:56:11,all,0.19,0,0.22,0,0,99.59,0.41
18:56:12,all,0.16,0,0.19,0,0,99.66,0.34
18:56:13,all,0.16,0,0.25,0,0,99.59,0.41
18:56:14,all,0.22,0,0.22,0,0,99.56,0.44
18:56:15,all,0.16,0,0.28,0,0,99.56,0.44
18:56:16,all,0.19,0,0.22,0,0,99.59,0.41
18:56:17,all,0.22,0,0.16,0,0,99.62,0.38
