14:08:42	CPU	%user	nice	%system	%iowait	%steal	%idle
14:14:31	all	2,53	0,00	2,15	0,00	0,00	95,32
14:14:32	all	4,28	0,00	3,14	0,00	0,00	92,58
14:14:33	all	3,04	0,00	2,92	0,13	0,00	93,92
14:14:34	all	4,43	0,00	1,90	0,38	0,00	93,29
14:14:35	all	4,58	0,00	2,67	0,00	0,00	92,75
14:14:36	all	2,91	0,00	2,15	0,00	0,00	94,94
14:14:37	all	5,44	0,00	2,40	0,13	0,00	92,04
14:14:38	all	3,67	0,00	1,77	0,00	0,00	94,56
14:14:39	all	4,33	0,00	2,80	0,38	0,00	92,49
14:14:40	all	3,04	0,00	1,90	0,00	0,00	95,06
14:14:41	all	4,82	0,00	2,54	0,13	0,00	92,51
14:14:42	all	3,05	0,00	2,92	0,00	0,00	94,04
14:14:43	all	4,59	0,00	1,15	0,00	0,00	94,27
14:14:44	all	4,93	0,00	3,16	0,38	0,00	91,53
14:14:45	all	3,29	0,00	1,77	0,00	0,00	94,94
14:14:46	all	4,66	0,00	3,40	0,00	0,00	91,94
14:14:47	all	2,67	0,00	1,91	0,00	0,00	95,43
14:14:48	all	5,05	0,00	2,53	0,00	0,00	92,42
14:14:49	all	2,66	0,00	2,03	0,38	0,00	94,94
14:14:50	all	4,45	0,00	2,80	0,00	0,00	92,76
14:14:51	all	3,40	0,00	2,77	0,13	0,00	93,69
14:14:52	all	4,44	0,00	1,90	0,00	0,00	93,66
14:14:53	all	6,05	0,00	2,27	0,00	0,00	91,68
14:14:54	all	3,06	0,00	1,53	0,13	0,00	95,29
14:14:55	all	4,44	0,00	3,17	0,00	0,00	92,40
14:14:56	all	3,64	0,00	2,01	0,00	0,00	94,35
14:14:57	all	4,94	0,00	2,53	0,00	0,00	92,53
14:14:58	all	3,77	0,00	2,14	0,13	0,00	93,96
14:14:59	all	6,29	0,00	2,89	0,38	0,00	90,44
14:15:00	all	3,81	0,00	2,29	0,00	0,00	93,90
14:15:01	all	4,67	0,00	2,27	0,00	0,00	93,06
14:15:02	all	4,44	0,00	3,30	0,00	0,00	92,27
14:15:03	all	3,05	0,00	1,78	0,13	0,00	95,05
